file,model,receiver_time,ece_10_bin,bin_low,bin_high,count,mean_confidence,empirical_frequency
seed42_round100_task_vs_team_1000.json,A,partner_before,0.011584392046914513,0.9,1.0,445,0.9456833045134384,0.8202247191011236
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.0,0.1,248447,0.013874234078427692,0.018164839985992987
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.1,0.2,47044,0.15029208110920195,0.15761839979593573
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.2,0.30000000000000004,64718,0.2552512695716929,0.25348434747674525
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.30000000000000004,0.4,79929,0.34366241483099297,0.33507237673435175
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.4,0.5,29687,0.44237853729275545,0.42213763600229054
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.5,0.6000000000000001,13128,0.5438812429324873,0.5250609384521633
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.6000000000000001,0.7000000000000001,6282,0.643224164364407,0.6179560649474689
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.7000000000000001,0.8,2845,0.7437956376318773,0.7036906854130053
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.8,0.9,1308,0.8429372056817425,0.77217125382263
seed42_round100_task_vs_team_1000.json,A,partner_after,0.007067359985704291,0.9,1.0,676,0.9464150504953057,0.8476331360946746
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.0,0.1,242638,0.016274794983460555,0.025263973491373982
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.1,0.2,56060,0.15126625426323592,0.1782376025686764
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.2,0.30000000000000004,77435,0.2536535871777855,0.2748111319170918
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.30000000000000004,0.4,82165,0.3424924747090632,0.338185358729386
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.4,0.5,22271,0.43998752538203273,0.4101746666067981
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.5,0.6000000000000001,7656,0.5419805442900743,0.5084900731452455
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.6000000000000001,0.7000000000000001,3195,0.6426704971256764,0.6003129890453834
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.7000000000000001,0.8,1315,0.7434058895582482,0.6623574144486692
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.8,0.9,734,0.8486486884488722,0.7138964577656676
seed42_round100_task_vs_team_1000.json,A,opponent_before,0.014233282260062947,0.9,1.0,595,0.9455618136069354,0.8016806722689076
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.0,0.1,244703,0.014617346806205184,0.017560062606506662
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.1,0.2,52143,0.1515420247322636,0.16376119517480775
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.2,0.30000000000000004,72779,0.25392762954088743,0.2607895134585526
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.30000000000000004,0.4,77383,0.3434608011531615,0.34176757168887223
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.4,0.5,26707,0.44163319252906486,0.43224622758078407
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.5,0.6000000000000001,11098,0.5435089254877679,0.5346909353036583
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.6000000000000001,0.7000000000000001,4939,0.6430243295101676,0.6274549503948168
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.7000000000000001,0.8,2335,0.7431972088599358,0.6963597430406853
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.8,0.9,1200,0.846223027308782,0.7358333333333333
seed42_round100_task_vs_team_1000.json,A,opponent_after,0.005534287994366308,0.9,1.0,777,0.9489557820550877,0.8468468468468469
